chances,COLLEGE,Student GPA,Student SAT,Student EC
43.0,University of Illinois--Urbana-Champaign,3.8,1420,3
47.0,University of Illinois--Urbana-Champaign,3.9,1490,3
55.0,University of Illinois--Urbana-Champaign,4.0,1600,5
67.0,University of Wisconsin--Madison,4.0,1600,5
61.0,University of Wisconsin--Madison,4.0,1480,3
46.0,University of Wisconsin--Madison,3.8,1360,3
15.0,Boston College,3.8,1360,3
27.0,Boston College,4.0,1600,2
14.0,Boston College,4.0,1200,5
86.0,Rutgers University--New Brunswick,4.0,1200,5
87.0,Rutgers University--New Brunswick,3.8,1480,3
79.0,Rutgers University--New Brunswick,3.2,1240,3
2.0,Tufts University,3.2,1240,3
13.0,Tufts University,3.9,1500,3
19.0,Tufts University,4.0,1590,5
67.0,University of Washington,4.0,1590,5
56.0,University of Washington,3.7,1440,5
27.0,University of Washington,3.3,1300,3
5.0,Boston University,3.3,1300,3
26.0,Boston University,3.8,1550,4
37.0,Boston University,4.0,1590,5
83.0,Ohio State University,4.0,1590,5
72.0,Ohio State University,4.0,1460,3
48.0,Ohio State University,3.4,1360,3
36.0,Purdue University--Main Campus,3.4,1360,3
58.0,Purdue University--Main Campus,3.8,1440,4
71.0,Purdue University--Main Campus,4.0,1510,4
62.0,University of Maryland--College Park,4.0,1510,4
41.0,University of Maryland--College Park,3.8,1320,4
70.0,University of Maryland--College Park,4.0,1600,3
51.0,Lehigh University,4.0,1600,3
37.0,Lehigh University,3.8,1320,3
28.0,Lehigh University,3.6,1280,3
80.0,Texas A&M University,3.6,1280,3
88.0,Texas A&M University,4.0,1510,3
65.0,Texas A&M University,3.0,1400,5
15.0,University of Georgia,3.0,1400,5
62.0,University of Georgia,3.9,1420,5
70.0,University of Georgia,4.0,1540,5
64.0,University of Rochester,4.0,1540,5
47.0,University of Rochester,3.7,1400,5
31.0,University of Rochester,3.5,1360,3
46.0,Virginia Tech,3.5,1360,3
77.0,Virginia Tech,4.0,1420,1
74.0,Virginia Tech,3.8,1600,3
14.0,Wake Forest University,3.8,1600,3
28.0,Wake Forest University,4.0,1600,5
7.0,Wake Forest University,3.6,1460,5
11.0,Case Western Reserve University,3.6,1460,5
41.0,Case Western Reserve University,4.0,1500,3
11.0,Case Western Reserve University,3.5,1600,3
20.0,Florida State University,3.5,1600,3
47.0,Florida State University,4.0,1510,4
69.0,Florida State University,4.0,1600,4
18.0,Northeastern University,4.0,1600,5
13.0,Northeastern University,4.0,1460,5
4.0,Northeastern University,3.6,1540,3
91.0,University of Minnesota--Twin Cities,3.6,1540,3
95.0,University of Minnesota--Twin Cities,4.0,1520,3
77.0,University of Minnesota--Twin Cities,3.4,1280,3
10.0,William & Mary,3.4,1280,3
33.0,William & Mary,3.85,1380,3
47.0,William & Mary,4.0,1400,4
74.0,Stony Brook University--SUNY,4.0,1400,4
69.0,Stony Brook University--SUNY,3.8,1360,4
53.0,Stony Brook University--SUNY,3.6,1260,3
65.0,University of Connecticut,3.6,1260,3
39.0,University of Connecticut,3.3,1200,3
90.0,University of Connecticut,4.0,1580,4
71.0,Brandeis University,4.0,1580,4
60.0,Brandeis University,3.8,1440,4
31.0,Brandeis University,3.6,1320,3
96.0,Michigan State University,3.6,1320,3
89.0,Michigan State University,3.0,1320,3
74.0,Michigan State University,2.6,1040,3
27.0,North Carolina State University,3.0,1260,3
68.0,North Carolina State University,3.8,1360,3
65.0,North Carolina State University,4.0,1260,2
81.0,The Pennsylvania State University--University Park,4.0,1260,2
78.0,The Pennsylvania State University--University Park,3.6,1380,4
83.0,The Pennsylvania State University--University Park,4.0,1560,1
88.0,Rensselaer Polytechnic Institute,3.8,1320,5
86.0,Rensselaer Polytechnic Institute,3.8,1320,3
57.0,Rensselaer Polytechnic Institute,3.6,1280,1
42.0,Santa Clara University,3.6,1280,1
68.0,Santa Clara University,3.85,1340,3
73.0,Santa Clara University,3.85,1420,4
97.0,University of California--Merced,3.85,1420,4
95.0,University of California--Merced,3.4,1340,3
82.0,University of California--Merced,2.6,1140,3
67.0,George Washington University,3.85,1420,3
71.0,George Washington University,4.0,1420,4
55.0,George Washington University,3.5,1580,4
63.0,Syracuse University,3.5,1580,4
70.0,Syracuse University,3.8,1440,3
77.0,Syracuse University,4.0,1580,4
92.0,University of Massachusetts--Amherst,4.0,1580,4
87.0,University of Massachusetts--Amherst,3.7,1580,4
64.0,University of Massachusetts--Amherst,3.4,1260,3
13.0,University of Miami,3.4,1260,3
26.0,University of Miami,3.9,1380,4
30.0,University of Miami,4.0,1540,4
35.0,Villanova University,4.0,1540,4
38.0,Villanova University,4.0,1600,5
24.0,Villanova University,3.8,1460,5
51.0,University of Pittsburgh,3.8,1460,5
60.0,University of Pittsburgh,4.0,1460,3
56.0,University of Pittsburgh,4.0,1360,3
59.0,Binghamton University--SUNY,4.0,1360,3
50.0,Binghamton University--SUNY,3.75,1360,2
37.0,Binghamton University--SUNY,3.5,1520,3
92.0,Indiana University--Bloomington,3.5,1520,3
94.0,Indiana University--Bloomington,3.9,1280,3
66.0,Indiana University--Bloomington,2.6,1080,2
52.0,Indiana University--Bloomington,2.2,940,1
30.0,Indiana University--Bloomington,1.6,940,1
23.0,Tulane University,3.8,1480,3
27.0,Tulane University,4.0,1500,4
33.0,Tulane University,4.0,1600,5
88.0,Colorado School of Mines,4.0,1600,5
82.0,Colorado School of Mines,4.0,1400,3
74.0,Colorado School of Mines,3.7,1380,3
38.0,Colorado School of Mines,3.3,1220,3
37.0,Pepperdine University,3.3,1220,3
31.0,Pepperdine University,3.3,1220,1
46.0,Pepperdine University,3.3,1300,5
75.0,Pepperdine University,4.0,1340,3
57.0,Stevens Institute of Technology,4.0,1340,3
53.0,Stevens Institute of Technology,4.0,1200,3
41.0,Stevens Institute of Technology,3.6,1520,4
90.0,University at Buffalo--SUNY,3.6,1520,4
85.0,University at Buffalo--SUNY,3.6,1200,3
60.0,University at Buffalo--SUNY,2.8,1200,3
51.0,University of California--Riverside,2.8,1200,3
88.0,University of California--Riverside,3.8,1360,3
61.0,University of California--Riverside,2.8,1560,3
77.0,University of Delaware,2.8,1560,3
93.0,University of Delaware,3.8,1280,5
52.0,University of Delaware,2.2,1100,5
93.0,Rutgers University--Newark,3.7,1300,3
81.0,Rutgers University--Newark,3.4,1300,3
86.0,Rutgers University--Newark,3.0,1300,3
23.0,University of California--Santa Cruz,3.0,1300,3
50.0,University of California--Santa Cruz,3.5,1400,3
71.0,University of California--Santa Cruz,3.9,1550,3
